213,60,52,39,26,20,10,4,2,,,,,
214,60,42,40,24,18,12,9,7,2,,,,
215,63,54,35,27,20,10,4,2,,,,,
216,60,56,40,28,14,12,4,2,,,,,
217,88,36,33,24,18,12,4,2,,,,,
218,60,56,42,24,20,10,4,2,,,,,
219,76,57,28,21,19,12,4,2,,,,,
220,90,40,30,24,18,12,4,2,,,,,
221,66,55,40,24,20,10,4,2,,,,,
222,70,56,35,24,21,10,4,2,,,,,
223,77,44,42,28,14,12,4,2,,,,,
224,72,56,36,28,14,12,4,2,,,,,
225,70,60,35,28,14,12,4,2,,,,,
226,88,40,33,28,21,10,4,2,,,,,
227,72,54,40,27,18,10,4,2,,,,,
228,72,60,36,24,20,10,4,2,,,,,
229,66,55,42,20,15,12,10,7,2,,,,
230,72,63,35,24,20,10,4,2,,,,,
231,91,78,28,21,7,4,2,,,,,,
232,70,56,40,20,15,12,10,7,2,,,,
233,96,40,32,28,21,10,4,2,,,,,
234,90,54,30,27,15,12,4,2,,,,,
235,84,56,35,24,20,10,4,2,,,,,
236,72,60,40,28,21,9,4,2,,,,,
237,88,56,33,28,14,12,4,2,,,,,
238,70,60,48,28,16,10,4,2,,,,,
239,78,65,36,26,18,10,4,2,,,,,
240,76,57,42,19,15,12,10,7,2,,,,
241,88,60,33,24,20,10,4,2,,,,,
242,100,45,36,25,20,10,4,2,,,,,
243,72,66,44,24,22,9,4,2,,,,,
244,84,70,30,28,14,12,4,2,,,,,
245,72,70,40,28,20,9,4,2,,,,,
246,56,48,42,36,24,18,16,4,2,,,,
247,84,63,36,28,21,9,4,2,,,,,
248,96,60,32,24,20,10,4,2,,,,,
249,78,65,45,26,20,9,4,2,,,,,
250,80,70,40,28,16,10,4,2,,,,,
251,100,60,30,25,20,10,4,2,,,,,
252,90,72,30,24,20,10,4,2,,,,,
253,90,72,35,24,14,12,4,2,,,,,
254,60,56,40,30,28,20,14,4,2,,,,
255,99,63,35,22,20,10,4,2,,,,,
256,90,72,36,24,18,10,4,2,,,,,
257,63,56,45,28,24,20,15,4,2,,,,
258,99,63,28,22,15,12,10,7,2,,,,
259,63,56,48,28,24,18,16,4,2,,,,
260,66,56,44,28,24,22,14,4,2,,,,
261,70,56,42,28,24,20,15,4,2,,,,
262,80,48,40,28,24,21,15,4,2,,,,
263,72,54,45,27,24,20,15,4,2,,,,
264,91,78,28,21,15,12,10,7,2,,,,
265,72,54,48,27,24,18,16,4,2,,,,
266,63,60,48,35,20,18,16,4,2,,,,
267,76,57,40,30,24,19,15,4,2,,,,
268,99,72,36,24,22,9,4,2,,,,,
269,90,88,33,24,18,10,4,2,,,,,
270,63,60,56,28,24,18,15,4,2,,,,
271,76,57,48,28,21,19,16,4,2,,,,
272,70,63,48,30,21,18,16,4,2,,,,
273,99,84,36,22,14,12,4,2,,,,,
274,99,45,40,24,22,20,18,4,2,,,,
275,84,56,42,28,24,21,14,4,2,,,,
276,72,60,54,27,24,18,15,4,2,,,,
277,100,85,34,25,17,10,4,2,,,,,
278,72,70,45,28,24,18,15,4,2,,,,
279,77,63,44,35,21,18,15,4,2,,,,
280,84,63,40,30,24,18,15,4,2,,,,
281,70,63,56,30,24,18,14,4,2,,,,
282,75,63,50,35,20,18,15,4,2,,,,
283,70,63,60,30,21,18,15,4,2,,,,
284,99,48,45,30,22,18,16,4,2,,,,
285,84,63,48,30,20,18,16,4,2,,,,
286,84,66,44,30,22,20,14,4,2,,,,
287,80,72,45,30,20,18,16,4,2,,,,
288,90,60,48,30,20,18,16,4,2,,,,
289,100,56,40,28,25,20,14,4,2,,,,
290,100,54,45,27,25,18,15,4,2,,,,
291,90,66,44,30,22,18,15,4,2,,,,
292,90,63,45,35,20,18,15,4,2,,,,
293,76,70,57,30,21,19,14,4,2,,,,
294,80,70,48,30,28,20,12,4,2,,,,
295,99,60,45,30,22,18,15,4,2,,,,
296,90,60,56,28,24,18,14,4,2,,,,
